일시,기온(°C),강수량(mm),풍속(m/s),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
2022-01-01 15:00,1.9,,1.7,35,2.5,-11.9,1018.5,1029.3,1,1.37,,2.1,-0.3,-0.8,-0.4,0.8
2022-01-01 16:00,1.8,,1.4,37,2.6,-11.3,1018.4,1029.2,1,0.86,,0,-0.2,-0.7,-0.4,0.8
2022-01-01 17:00,0.5,,1.5,38,2.4,-12.2,1018.5,1029.4,1,0.38,,-0.3,-0.1,-0.6,-0.4,0.8
2022-01-01 18:00,-0.9,,0.7,42,2.4,-12.2,1018.2,1029.2,0,0.02,,-1.2,-0.1,-0.6,-0.4,0.8
2022-01-01 19:00,-1.2,,0.9,45,2.5,-11.6,1018.2,1029.2,,,,-1,-0.1,-0.6,-0.4,0.8
2022-01-01 20:00,-1.6,,0.9,47,2.6,-11.4,1017.8,1028.8,,,,-2.3,-0.1,-0.6,-0.3,0.8
2022-01-01 21:00,-2.4,,2.1,49,2.5,-11.6,1017.5,1028.5,,,,-3,-0.2,-0.6,-0.3,0.8
2022-01-01 22:00,-2.5,,1,49,2.5,-11.7,1017.4,1028.4,,,,-3.4,-0.3,-0.6,-0.3,0.8
2022-01-01 23:00,-2.6,,0.9,52,2.6,-11.1,1017.1,1028.1,,,,-3,-0.3,-0.7,-0.3,0.8
2022-01-02 0:00,-2.8,,2.3,55,2.7,-10.6,1016.3,1027.3,,,,-3.3,-0.4,-0.7,-0.3,0.8
2022-01-02 1:00,-2.9,,2.1,57,2.8,-10.2,1015.8,1026.8,,,,-3.4,-0.4,-0.7,-0.3,0.8
2022-01-02 2:00,-2.6,,1.9,57,2.9,-9.9,1015.3,1026.3,,,,-2.5,-0.4,-0.7,-0.3,0.8
2022-01-02 3:00,-2.1,,2.5,56,2.9,-9.7,1015.1,1026.1,,,,-2.1,-0.4,-0.7,-0.3,0.8
2022-01-02 4:00,-1.9,,2,55,2.9,-9.7,1014.3,1025.3,,,,-2.1,-0.3,-0.7,-0.3,0.8
2022-01-02 5:00,-1.9,,2.3,56,3,-9.5,1013.6,1024.5,,,,-2,-0.3,-0.7,-0.3,0.8
2022-01-02 6:00,-1.9,0,2.5,66,3.5,-7.4,1014.1,1025.1,,,0.1,-1.8,-0.3,-0.7,-0.3,0.8
2022-01-02 7:00,-2.2,,2,81,4.2,-5,1014.3,1025.3,,,0.5,-1.6,-0.3,-0.6,-0.3,0.8
2022-01-02 8:00,-2.2,,2,83,4.3,-4.7,1014.6,1025.6,0,0,0.5,-1.9,-0.2,-0.6,-0.3,0.8
2022-01-02 9:00,-1.9,0.3,1.4,82,4.4,-4.5,1015.4,1026.4,0,0.14,0.4,-1.5,-0.2,-0.6,-0.3,0.8
2022-01-02 10:00,-0.8,,0.7,81,4.7,-3.6,1016.2,1027.1,0.1,0.44,0.3,-0.8,-0.2,-0.6,-0.3,0.8
2022-01-02 11:00,0,,3.3,80,4.9,-3,1016.7,1027.6,0.1,0.55,0.2,-0.1,-0.1,-0.6,-0.3,0.8
2022-01-02 12:00,1.4,,2.4,74,5,-2.7,1016.3,1027.1,0.3,1.04,,4.3,0,-0.5,-0.3,0.8
2022-01-02 13:00,1.4,,3.6,67,4.5,-4,1015.7,1026.5,0.8,1.71,,3.8,0,-0.5,-0.3,0.8
2022-01-02 14:00,2.4,,3.5,55,4,-5.7,1015,1025.8,1,1.69,,6.2,0.1,-0.5,-0.3,0.8
2022-01-02 15:00,2.5,,3.3,46,3.4,-7.9,1015.1,1025.9,1,1.52,,2.7,0.1,-0.4,-0.3,0.8
2022-01-02 16:00,2.5,,3,45,3.3,-8.2,1015.3,1026.1,1,0.95,,0.2,0.1,-0.4,-0.3,0.8
2022-01-02 17:00,1.2,,2.7,45,3,-9.4,1015.6,1026.4,1,0.45,,-0.1,0.1,-0.4,-0.3,0.8
2022-01-02 18:00,-0.5,,2.9,40,2.4,-12.4,1016.1,1027,0.1,0.03,,-0.8,0.1,-0.4,-0.3,0.8
2022-01-02 19:00,-1.6,,2,41,2.2,-13.1,1016.8,1027.8,,,,-1.5,0.1,-0.4,-0.3,0.8
2022-01-02 20:00,-2.6,,1.6,46,2.3,-12.6,1016.7,1027.7,,,,-2.3,0.1,-0.4,-0.3,0.8
2022-01-02 21:00,-2.9,,2.7,48,2.4,-12.4,1016.9,1027.9,,,,-2.9,0,-0.4,-0.3,0.8
2022-01-02 22:00,-3.8,,2.1,49,2.3,-12.9,1017.2,1028.3,,,,-3.7,0,-0.4,-0.3,0.8
2022-01-02 23:00,-4.4,,2.9,48,2.1,-13.7,1017.3,1028.4,,,,-4.2,-0.1,-0.5,-0.3,0.8
2022-01-03 0:00,-5.2,,1.6,51,2.1,-13.7,1016.8,1027.9,,,,-4.9,-0.3,-0.5,-0.3,0.8
2022-01-03 1:00,-5.8,,2.1,52,2.1,-14.1,1016.9,1028,,,,-5.4,-0.4,-0.6,-0.3,0.8
2022-01-03 2:00,-6.4,,1.7,56,2.1,-13.7,1016.9,1028.1,,,,-5.9,-0.6,-0.7,-0.3,0.8
2022-01-03 3:00,-7,,1.6,59,2.1,-13.6,1016.9,1028.1,,,,-6.4,-0.7,-0.8,-0.3,0.8
2022-01-03 4:00,-7.2,,1.3,61,2.2,-13.4,1016.6,1027.8,,,,-6.5,-0.9,-0.9,-0.3,0.8
2022-01-03 5:00,-7.4,,0.3,59,2.1,-14,1016.5,1027.7,,,,-6.8,-1,-1,-0.3,0.8
2022-01-03 6:00,-7.8,,2.1,55,1.9,-15.2,1016.4,1027.6,,,,-7.2,-1.1,-1.1,-0.3,0.8
2022-01-03 7:00,-7.7,,2,54,1.8,-15.4,1016.3,1027.5,,,,-7.4,-1.2,-1.2,-0.3,0.8
2022-01-03 8:00,-7.6,,1.6,55,1.9,-15,1017.1,1028.3,0,0,,-7.2,-1.3,-1.3,-0.4,0.8
2022-01-03 9:00,-6.9,,1.7,55,2,-14.4,1017.2,1028.4,1,0.29,,-5.7,-1.4,-1.3,-0.4,0.8
2022-01-03 10:00,-4,,1.2,55,2.5,-11.7,1017.2,1028.3,1,0.79,,-2.3,-1.2,-1.3,-0.4,0.7
2022-01-03 11:00,-1.4,,1.5,44,2.4,-12.1,1016.8,1027.8,1,1.29,,-0.3,-0.9,-1.2,-0.4,0.7
2022-01-03 12:00,0.9,,2.1,36,2.3,-12.5,1015.9,1026.8,1,1.64,,2.6,-0.7,-1,-0.4,0.7
2022-01-03 13:00,1.7,,2.8,43,3,-9.5,1015.5,1026.3,1,1.75,,4.1,-0.4,-0.9,-0.4,0.7
2022-01-03 14:00,2,,2.4,43,3,-9.2,1014.6,1025.4,1,1.63,,4.9,-0.3,-0.8,-0.4,0.7
2022-01-03 15:00,2.2,,2.2,48,3.5,-7.6,1014.2,1025,0.8,1.06,,3,-0.2,-0.7,-0.4,0.7
2022-01-03 16:00,2.3,,2.4,49,3.5,-7.3,1014,1024.8,0.8,0.64,,1.1,-0.1,-0.6,-0.4,0.7
2022-01-03 17:00,1.6,,3,56,3.8,-6.2,1013.9,1024.7,0.2,0.24,,-0.1,0,-0.6,-0.4,0.7
2022-01-03 18:00,1.3,,1.9,58,3.9,-6,1013.8,1024.6,0,0.02,,-0.1,0,-0.5,-0.4,0.7
2022-01-03 19:00,1.3,,2.6,65,4.4,-4.5,1013.8,1024.6,,,,-0.2,0,-0.5,-0.4,0.7
2022-01-03 20:00,1.2,,1.8,68,4.5,-4,1014,1024.8,,,,-0.2,0.1,-0.5,-0.4,0.7
2022-01-03 21:00,1.1,0,2.8,74,4.9,-3,1013.8,1024.6,,,,-0.2,0.1,-0.4,-0.3,0.7
2022-01-03 22:00,0.9,,1.5,75,4.9,-3,1013.6,1024.4,,,,-0.4,0.1,-0.4,-0.3,0.7
2022-01-03 23:00,0.6,,1.3,75,4.8,-3.3,1013.4,1024.2,,,,-0.6,0.1,-0.4,-0.3,0.7
2022-01-04 0:00,0.7,0,1.6,81,5.2,-2.1,1013.8,1024.6,,,,-0.4,0.1,-0.4,-0.3,0.7
2022-01-04 1:00,0.7,,1.3,81,5.2,-2.1,1014.1,1025,,,,-0.5,0.1,-0.4,-0.3,0.7
2022-01-04 2:00,-0.4,,2.4,77,4.6,-3.9,1014.7,1025.6,,,,-1.3,0.1,-0.4,-0.3,0.7
2022-01-04 3:00,-1.6,0,2,78,4.2,-4.9,1015.6,1026.6,,,,-2.4,0.1,-0.4,-0.3,0.7
2022-01-04 4:00,-2.2,,2.5,76,4,-5.8,1015.8,1026.8,,,,-3,0.1,-0.4,-0.3,0.7
2022-01-04 5:00,-2.9,,3.3,74,3.7,-6.8,1015.9,1026.9,,,,-3.6,0,-0.4,-0.3,0.7
2022-01-04 6:00,-3.6,,2.6,73,3.4,-7.7,1016.8,1027.9,,,,-4.2,-0.1,-0.4,-0.3,0.7
2022-01-04 7:00,-4,,2.5,76,3.5,-7.6,1017.6,1028.7,,,,-4.6,-0.2,-0.5,-0.3,0.7
2022-01-04 8:00,-4.6,,1.9,75,3.3,-8.3,1017.7,1028.8,0,0,,-4.8,-0.3,-0.6,-0.3,0.7
2022-01-04 9:00,-4.3,,3.8,73,3.2,-8.4,1018.1,1029.2,0.9,0.28,,-4.2,-0.4,-0.6,-0.3,0.7
2022-01-04 10:00,-3.5,,2.8,66,3.1,-8.9,1018.3,1029.4,1,0.88,,-1.6,-0.4,-0.7,-0.3,0.7
2022-01-04 11:00,-1.9,,3.2,55,2.9,-9.7,1018.1,1029.1,1,1.45,,0,-0.3,-0.7,-0.3,0.7
2022-01-04 12:00,-0.6,,2.5,45,2.6,-11,1017.5,1028.4,1,1.81,,4.3,-0.2,-0.6,-0.3,0.7
2022-01-04 13:00,-0.5,,2.9,43,2.5,-11.5,1016.9,1027.8,1,1.94,,6.9,-0.1,-0.6,-0.3,0.7
2022-01-04 14:00,0,,3.6,37,2.3,-12.9,1016.5,1027.4,1,1.87,,6.2,0,-0.5,-0.3,0.7
2022-01-04 15:00,0.9,,3.5,32,2.1,-13.9,1016.5,1027.4,1,1.56,,2.9,0,-0.5,-0.3,0.7
2022-01-04 16:00,0.7,,3,29,1.9,-15.3,1016.9,1027.8,1,1.02,,0,0,-0.5,-0.3,0.7
2022-01-04 17:00,-0.4,,2.8,29,1.7,-16.3,1017.1,1028,1,0.45,,-0.5,0.1,-0.4,-0.3,0.7
2022-01-04 18:00,-1.7,,2.2,31,1.7,-16.6,1017.3,1028.3,0.1,0.04,,-1.5,0,-0.4,-0.3,0.7
2022-01-04 19:00,-2.6,,0.7,35,1.8,-15.9,1017.5,1028.5,,,,-2.5,0,-0.4,-0.3,0.7
2022-01-04 20:00,-2.5,,2.5,34,1.7,-16.2,1017.7,1028.7,,,,-3,0,-0.5,-0.3,0.7
2022-01-04 21:00,-3.5,,0.8,37,1.7,-16.1,1017.9,1029,,,,-3.7,-0.1,-0.5,-0.3,0.7
2022-01-04 22:00,-4.4,,1,41,1.8,-15.7,1017.7,1028.8,,,,-4.5,-0.2,-0.5,-0.3,0.7
2022-01-04 23:00,-5.1,,1.5,42,1.8,-16,1018,1029.1,,,,-5.2,-0.3,-0.6,-0.3,0.7
2022-01-05 0:00,-5.6,,1.3,45,1.8,-15.6,1018.5,1029.7,,,,-5.7,-0.5,-0.7,-0.3,0.7
2022-01-05 1:00,-6,,1.3,48,1.9,-15.2,1018.1,1029.3,,,,-6.1,-0.6,-0.8,-0.3,0.7
2022-01-05 2:00,-6.6,,2.2,49,1.8,-15.5,1018.2,1029.4,,,,-6.2,-0.7,-0.9,-0.3,0.7
2022-01-05 3:00,-7,,1,52,1.9,-15.2,1018.5,1029.7,,,,-6.7,-0.8,-0.9,-0.3,0.7
2022-01-05 4:00,-7.2,,1.9,52,1.8,-15.4,1018,1029.2,,,,-6.8,-1,-1,-0.3,0.7
2022-01-05 5:00,-7.3,,1.8,54,1.9,-15,1017.8,1029,,,,-6.7,-1.1,-1.1,-0.3,0.7
2022-01-05 6:00,-7.6,,2.4,55,1.9,-15,1018.1,1029.3,,,,-6.9,-1.2,-1.2,-0.4,0.7
2022-01-05 7:00,-7.7,,2.3,57,2,-14.7,1017.9,1029.1,,,,-6.7,-1.2,-1.2,-0.4,0.7
2022-01-05 8:00,-7.5,,2.6,58,2,-14.3,1018.2,1029.4,0,0,,-6.2,-1.3,-1.3,-0.4,0.7
2022-01-05 9:00,-6.4,,0.9,56,2.1,-13.7,1018,1029.2,0.6,0.29,,-4.5,-1.3,-1.3,-0.4,0.7
2022-01-05 10:00,-4.4,,1.3,50,2.2,-13.2,1018.3,1029.4,0.7,0.52,,-2.5,-1.1,-1.3,-0.5,0.7
2022-01-05 11:00,-2.4,,1.5,46,2.4,-12.4,1018.3,1029.3,0.6,0.9,,-0.3,-0.9,-1.2,-0.5,0.6
2022-01-05 12:00,-0.6,,2.3,41,2.4,-12.2,1017.4,1028.3,0,1.03,,1,-0.6,-1,-0.5,0.6
2022-01-05 13:00,0.5,,2,37,2.3,-12.5,1016.1,1027,0,1.03,,1.5,-0.4,-0.9,-0.5,0.6
2022-01-05 14:00,1.3,,2.3,35,2.3,-12.5,1015.7,1026.5,0,0.98,,2.8,-0.2,-0.7,-0.5,0.6
2022-01-05 15:00,1.7,,1.5,36,2.5,-11.8,1015.4,1026.2,0,0.76,,1.7,-0.1,-0.6,-0.4,0.6
2022-01-05 16:00,1.8,,1.3,36,2.5,-11.7,1015.1,1025.9,0,0.43,,0.5,0,-0.6,-0.4,0.6
2022-01-05 17:00,1.4,,1.2,38,2.6,-11.4,1015.6,1026.4,0,0.16,,-0.1,0,-0.5,-0.4,0.6
2022-01-05 18:00,0.7,,2,42,2.7,-10.7,1015.7,1026.6,0,0.02,,-0.3,0,-0.5,-0.4,0.6
2022-01-05 19:00,0.1,,1.3,42,2.6,-11.3,1016,1026.9,,,,-0.7,0.1,-0.5,-0.4,0.6
2022-01-05 20:00,-0.6,,1.6,44,2.6,-11.3,1016,1026.9,,,,-1.2,0.1,-0.4,-0.4,0.6
2022-01-05 21:00,-1,,2,46,2.6,-11.1,1016.3,1027.2,,,,-1.8,0.1,-0.4,-0.4,0.6
2022-01-05 22:00,-1.3,,2.2,46,2.6,-11.4,1016.6,1027.6,,,,-2.6,0,-0.4,-0.4,0.6
2022-01-05 23:00,-1.9,,1.2,48,2.6,-11.4,1016.4,1027.4,,,,-3.1,-0.1,-0.5,-0.4,0.6
2022-01-06 0:00,-2.5,,1.7,53,2.7,-10.7,1016.1,1027.1,,,,-3.6,-0.1,-0.5,-0.3,0.6
2022-01-06 1:00,-3.1,,1.5,53,2.6,-11.3,1015.9,1026.9,,,,-4.3,-0.2,-0.5,-0.3,0.6
2022-01-06 2:00,-3.7,,0.9,55,2.6,-11.4,1015.7,1026.8,,,,-4.8,-0.3,-0.6,-0.3,0.6
2022-01-06 3:00,-4.5,,1.6,59,2.6,-11.3,1016.3,1027.4,,,,-5.3,-0.5,-0.7,-0.3,0.6
2022-01-06 4:00,-4.8,,2.1,62,2.7,-10.9,1016.3,1027.4,,,,-5.4,-0.6,-0.8,-0.3,0.6
2022-01-06 5:00,-4.6,,2.8,62,2.7,-10.7,1016.3,1027.4,,,,-5.4,-0.7,-0.9,-0.4,0.6
2022-01-06 6:00,-5.4,,2.2,60,2.5,-11.9,1016.8,1027.9,,,,-5.7,-0.8,-0.9,-0.4,0.6
2022-01-06 7:00,-5.5,,1.5,60,2.4,-12,1017.6,1028.7,,,,-5.9,-0.9,-1,-0.4,0.6
2022-01-06 8:00,-5.9,,2.5,62,2.4,-12,1018.1,1029.3,0,0,,-6,-1,-1.1,-0.4,0.6
2022-01-06 9:00,-5.1,,2.3,62,2.6,-11.2,1018.6,1029.7,0.9,0.29,,-5,-1,-1.1,-0.4,0.6
2022-01-06 10:00,-3,,2,53,2.6,-11.2,1019.2,1030.3,1,0.87,,-1.7,-1,-1.2,-0.5,0.6
2022-01-06 11:00,-1.1,,2.7,41,2.3,-12.7,1019.1,1030.1,1,1.42,,1,-0.8,-1.1,-0.5,0.6
2022-01-06 12:00,0.3,,3.4,35,2.2,-13.4,1018.3,1029.2,1,1.82,,5.6,-0.5,-1,-0.5,0.6
2022-01-06 13:00,1.7,,4.2,33,2.3,-12.8,1017.4,1028.2,1,1.95,,7.3,-0.4,-0.8,-0.5,0.6
2022-01-06 14:00,2.8,,4.2,31,2.3,-12.6,1017.1,1027.9,1,1.87,,6.7,-0.2,-0.7,-0.5,0.6
2022-01-06 15:00,2.8,,2.6,31,2.3,-12.6,1016.9,1027.7,1,1.52,,4.1,-0.1,-0.7,-0.5,0.6
2022-01-06 16:00,3.1,,1.6,31,2.4,-12.4,1017,1027.8,1,0.98,,0.4,-0.1,-0.6,-0.4,0.6
2022-01-06 17:00,2,,2.2,33,2.3,-12.6,1017.5,1028.3,1,0.46,,-0.4,0,-0.6,-0.4,0.6
2022-01-06 18:00,0.7,,2.2,35,2.3,-13,1018.1,1029,0.2,0.04,,-1.2,0,-0.5,-0.4,0.6
2022-01-06 19:00,0,,3.2,37,2.3,-12.9,1018.7,1029.6,,,,-1.8,0,-0.5,-0.4,0.6
2022-01-06 20:00,-1.2,,1.8,41,2.3,-12.8,1018.9,1029.9,,,,-2.5,-0.1,-0.5,-0.4,0.6
2022-01-06 21:00,-1.9,,1.8,43,2.3,-12.8,1019.2,1030.2,,,,-2.9,-0.1,-0.5,-0.4,0.6
2022-01-06 22:00,-2.7,,1.7,47,2.4,-12.4,1019.5,1030.5,,,,-3.6,-0.2,-0.6,-0.4,0.6
2022-01-06 23:00,-3.4,,1.6,50,2.4,-12.3,1019.6,1030.7,,,,-4.1,-0.3,-0.6,-0.4,0.6
2022-01-07 0:00,-4.2,,1.3,52,2.3,-12.6,1019.6,1030.7,,,,-4.8,-0.4,-0.7,-0.4,0.6
2022-01-07 1:00,-4.5,,0.9,54,2.4,-12.4,1019.6,1030.7,,,,-5.3,-0.5,-0.8,-0.4,0.6
2022-01-07 2:00,-4.8,,1.1,57,2.4,-12,1019.8,1030.9,,,,-5.7,-0.7,-0.9,-0.4,0.6
2022-01-07 3:00,-5,,1.2,56,2.4,-12.4,1020,1031.2,,,,-5.9,-0.8,-0.9,-0.4,0.6
2022-01-07 4:00,-5.3,,0.6,58,2.4,-12.2,1019.9,1031.1,,,,-6.1,-0.9,-1,-0.4,0.6
2022-01-07 5:00,-5.4,,1.4,57,2.3,-12.5,1019.9,1031.1,,,,-6.3,-1,-1.1,-0.5,0.6
2022-01-07 6:00,-5.7,,1.6,59,2.4,-12.4,1020,1031.2,,,,-6.5,-1.1,-1.2,-0.5,0.6
2022-01-07 7:00,-5.8,,1.3,62,2.5,-11.9,1020.3,1031.5,,,,-6.7,-1.2,-1.2,-0.5,0.5
2022-01-07 8:00,-5.8,,1.3,64,2.5,-11.5,1020.4,1031.6,0,0,,-6.7,-1.2,-1.3,-0.5,0.5
2022-01-07 9:00,-5.3,,1.5,63,2.6,-11.2,1020.7,1031.9,0.9,0.28,,-5.6,-1.3,-1.4,-0.6,0.5
2022-01-07 10:00,-3,,1.1,59,2.9,-9.9,1020.8,1031.9,1,0.83,,-1.8,-1.2,-1.4,-0.6,0.5
2022-01-07 11:00,0.3,,0.8,48,3,-9.4,1020.4,1031.3,1,1.36,,1.2,-0.9,-1.2,-0.6,0.5
2022-01-07 12:00,1.9,,2.4,37,2.6,-11.2,1019.4,1030.3,1,1.72,,5.2,-0.6,-1.1,-0.6,0.5
2022-01-07 13:00,2.5,,1.7,32,2.3,-12.5,1018.7,1029.5,1,1.92,,8.1,-0.4,-0.9,-0.6,0.5
2022-01-07 14:00,3.7,,2.4,24,1.9,-15,1018.1,1028.9,1,1.88,,7.9,-0.3,-0.8,-0.6,0.5
2022-01-07 15:00,4.2,,2.1,24,2,-14.6,1017.7,1028.4,1,1.56,,4.9,-0.2,-0.7,-0.5,0.5
2022-01-07 16:00,4.4,,2.4,21,1.8,-16,1017.6,1028.3,1,1.08,,0.6,-0.1,-0.6,-0.5,0.5
2022-01-07 17:00,2.8,,2.3,25,1.9,-15.3,1017.5,1028.3,1,0.45,,-0.3,0,-0.6,-0.5,0.5
2022-01-07 18:00,1.4,,2.1,33,2.2,-13.1,1017.6,1028.5,0.2,0.04,,-1,0,-0.6,-0.5,0.5
2022-01-07 19:00,0.3,,1.8,41,2.6,-11.4,1017.9,1028.8,,,,-1.5,0,-0.5,-0.5,0.5
2022-01-07 20:00,-0.5,,1.8,46,2.7,-10.7,1018.1,1029,,,,-2,-0.1,-0.5,-0.4,0.5
2022-01-07 21:00,-1.3,,2.1,50,2.8,-10.4,1018,1029,,,,-2.6,-0.1,-0.5,-0.4,0.5
2022-01-07 22:00,-1.9,,1.8,53,2.8,-10.2,1017.7,1028.7,,,,-3,-0.2,-0.6,-0.4,0.5
2022-01-07 23:00,-2.2,,1,55,2.9,-10,1017.5,1028.5,,,,-3.7,-0.2,-0.6,-0.4,0.5
2022-01-08 0:00,-2.8,,0.7,55,2.7,-10.6,1017.2,1028.2,,,,-4.3,-0.3,-0.7,-0.4,0.5
2022-01-08 1:00,-3.1,,0.8,54,2.6,-11.1,1016.8,1027.8,,,,-4.8,-0.4,-0.7,-0.4,0.5
2022-01-08 2:00,-3.3,,0.1,53,2.5,-11.5,1016.8,1027.8,,,,-5.1,-0.6,-0.8,-0.4,0.5
2022-01-08 3:00,-3.6,,0.1,54,2.5,-11.5,1017,1028.1,,,,-5.4,-0.7,-0.9,-0.4,0.5
2022-01-08 4:00,-3.9,,1.9,55,2.5,-11.6,1016.4,1027.5,,,,-5.5,-0.7,-0.9,-0.5,0.5
2022-01-08 5:00,-4.3,,1.9,56,2.5,-11.7,1015.8,1026.9,,,,-5.7,-0.8,-1,-0.5,0.5
2022-01-08 6:00,-4.7,,2.4,59,2.5,-11.5,1015.7,1026.8,,,,-5.8,-0.9,-1.1,-0.5,0.5
2022-01-08 7:00,-4.9,,2,60,2.6,-11.4,1015.5,1026.6,,,,-5.7,-1,-1.1,-0.5,0.5
2022-01-08 8:00,-4.9,,2.3,61,2.6,-11.2,1015.6,1026.7,0,0,,-5.4,-1.1,-1.2,-0.6,0.5
2022-01-08 9:00,-4,,2.2,60,2.7,-10.6,1015.4,1026.5,0.6,0.25,,-3.8,-1.1,-1.3,-0.6,0.5
2022-01-08 10:00,-2.4,,2.1,58,3,-9.5,1015.5,1026.5,0.1,0.39,,-1.3,-0.9,-1.2,-0.6,0.5
2022-01-08 11:00,-0.8,,2.3,53,3,-9.2,1014.8,1025.7,0,0.51,,0,-0.7,-1.1,-0.6,0.4
2022-01-08 12:00,0.6,,1.2,50,3.2,-8.6,1013.9,1024.8,0,0.8,,1.6,-0.5,-0.9,-0.6,0.4
2022-01-08 13:00,2.3,,1.1,52,3.8,-6.5,1012.9,1023.7,0,0.68,,2,-0.3,-0.8,-0.6,0.4
2022-01-08 14:00,3.1,,0.6,53,4.1,-5.5,1012.1,1022.8,0,0.54,,2,-0.1,-0.7,-0.6,0.4
2022-01-08 15:00,3.2,0,1.8,65,5,-2.7,1012,1022.7,0,0.21,,0.9,-0.1,-0.6,-0.5,0.4
2022-01-08 16:00,3.5,,2.6,72,5.7,-1,1011.8,1022.5,0,0.12,,0.7,0,-0.6,-0.5,0.4
2022-01-08 17:00,3.7,,2.8,71,5.7,-1,1011.6,1022.3,0,0.17,,0.2,0,-0.5,-0.5,0.4
2022-01-08 18:00,3.6,,2.3,72,5.7,-0.9,1011.8,1022.5,0,0.01,,-0.3,0.1,-0.5,-0.5,0.4
2022-01-08 19:00,3.6,,2.3,74,5.8,-0.6,1011.9,1022.6,,,,-0.1,0.1,-0.5,-0.5,0.4
2022-01-08 20:00,3.3,,1.5,76,5.9,-0.5,1011.9,1022.6,,,,-0.3,0.1,-0.4,-0.4,0.4
2022-01-08 21:00,3.4,,1.3,77,6,-0.2,1011.7,1022.4,,,,-0.1,0.1,-0.4,-0.4,0.4
2022-01-08 22:00,3.4,,1,78,6.1,0,1011.5,1022.2,,,,-0.1,0.1,-0.4,-0.4,0.4
2022-01-08 23:00,3.5,,1.9,78,6.1,0,1011.2,1021.9,,,,0,0.2,-0.4,-0.4,0.4
2022-01-09 0:00,3.7,,1.5,77,6.1,0,1010.8,1021.5,,,,0.1,0.2,-0.4,-0.4,0.4
2022-01-09 1:00,3.7,,2.1,80,6.3,0.5,1010.5,1021.2,,,,0.1,0.2,-0.4,-0.4,0.4
2022-01-09 2:00,3.3,,2.2,82,6.3,0.5,1010.6,1021.3,,,,0,0.2,-0.4,-0.4,0.4
2022-01-09 3:00,2.5,,1.3,83,6.1,-0.1,1010.9,1021.6,,,,-0.6,0.2,-0.4,-0.4,0.4
2022-01-09 4:00,1.4,,2,85,5.8,-0.8,1010.9,1021.7,,,,-1,0.2,-0.3,-0.4,0.5
2022-01-09 5:00,0.5,,2.6,86,5.5,-1.5,1011,1021.8,,,,-1.4,0.2,-0.3,-0.4,0.5
2022-01-09 6:00,-0.1,,2.7,88,5.4,-1.8,1011.2,1022.1,,,,-1.8,0.2,-0.3,-0.4,0.5
2022-01-09 7:00,-0.9,,1.5,88,5,-2.6,1011.5,1022.4,,,,-2.2,0.2,-0.3,-0.4,0.5
