ID,호선,역명,일시,공기질
183,2,강남,2022-01-08 14,1
184,2,강남,2022-01-08 15,1
185,2,강남,2022-01-08 16,1
186,2,강남,2022-01-08 17,1
187,2,강남,2022-01-08 18,1
188,2,강남,2022-01-08 19,1
189,2,강남,2022-01-08 20,1
190,2,강남,2022-01-08 21,1
191,2,강남,2022-01-08 22,1
192,2,강남,2022-01-08 23,1
193,2,강남,2022-01-09 00,1
194,2,강남,2022-01-09 01,1
195,2,강남,2022-01-09 02,1
196,2,강남,2022-01-09 03,1
197,2,강남,2022-01-09 04,1
198,2,강남,2022-01-09 05,1
199,2,강남,2022-01-09 06,1
200,2,강남,2022-01-09 07,1
201,2,강남,2022-01-09 08,1
202,2,강남,2022-01-09 09,1
203,2,강남,2022-01-09 10,1
204,2,강남,2022-01-09 11,1
205,2,강남,2022-01-09 12,1
206,2,강남,2022-01-09 13,1
207,2,강남,2022-01-09 14,1
208,2,강남,2022-01-09 15,1
209,2,강남,2022-01-09 16,1
210,2,강남,2022-01-09 17,1
211,2,강남,2022-01-09 18,1
212,2,강남,2022-01-09 19,1
213,2,강남,2022-01-09 20,1
214,2,강남,2022-01-09 21,1
215,2,강남,2022-01-09 22,1
216,2,강남,2022-01-09 23,1
217,2,강남,2022-01-10 00,1
218,2,강남,2022-01-10 01,1
219,2,강남,2022-01-10 02,1
220,2,강남,2022-01-10 03,1
221,2,강남,2022-01-10 04,1
222,2,강남,2022-01-10 05,1
223,2,강남,2022-01-10 06,1
224,2,강남,2022-01-10 07,1
225,2,강남,2022-01-10 08,1
226,2,강남,2022-01-10 09,1
227,2,강남,2022-01-10 10,1
228,2,강남,2022-01-10 11,1
229,2,강남,2022-01-10 12,1
230,2,강남,2022-01-10 13,1
231,2,강남,2022-01-10 14,1
232,2,강남,2022-01-10 15,1
233,2,강남,2022-01-10 16,1
234,2,강남,2022-01-10 17,1
235,2,강남,2022-01-10 18,1
236,2,강남,2022-01-10 19,1
237,2,강남,2022-01-10 20,1
238,2,강남,2022-01-10 21,0
239,2,강남,2022-01-10 22,0
240,2,강남,2022-01-10 23,0
241,2,강남,2022-01-11 00,1
242,2,강남,2022-01-11 01,1
243,2,강남,2022-01-11 02,1
244,2,강남,2022-01-11 03,1
245,2,강남,2022-01-11 04,0
246,2,강남,2022-01-11 05,0
247,2,강남,2022-01-11 06,0
248,2,강남,2022-01-11 07,0
249,2,강남,2022-01-11 08,1
250,2,강남,2022-01-11 09,1
251,2,강남,2022-01-11 10,1
252,2,강남,2022-01-11 11,0
253,2,강남,2022-01-11 12,1
254,2,강남,2022-01-11 13,0
255,2,강남,2022-01-11 14,1
256,2,강남,2022-01-11 15,1
257,2,강남,2022-01-11 16,1
258,2,강남,2022-01-11 17,1
259,2,강남,2022-01-11 18,1
260,2,강남,2022-01-11 19,1
261,2,강남,2022-01-11 20,1
262,2,강남,2022-01-11 21,1
263,2,강남,2022-01-11 22,0
264,2,강남,2022-01-11 23,0
265,2,강남,2022-01-12 00,0
266,2,강남,2022-01-12 01,1
267,2,강남,2022-01-12 02,1
268,2,강남,2022-01-12 03,0
269,2,강남,2022-01-12 04,0
270,2,강남,2022-01-12 05,0
271,2,강남,2022-01-12 06,0
272,2,강남,2022-01-12 07,1
273,2,강남,2022-01-12 08,1
274,2,강남,2022-01-12 09,1
275,2,강남,2022-01-12 10,1
276,2,강남,2022-01-12 11,1
277,2,강남,2022-01-12 12,1
278,2,강남,2022-01-12 13,1
279,2,강남,2022-01-12 14,1
280,2,강남,2022-01-12 15,1
281,2,강남,2022-01-12 16,1
282,2,강남,2022-01-12 17,1
283,2,강남,2022-01-12 18,1
284,2,강남,2022-01-12 19,1
285,2,강남,2022-01-12 20,1
286,2,강남,2022-01-12 21,1
287,2,강남,2022-01-12 22,1
288,2,강남,2022-01-12 23,0
289,2,강남,2022-01-13 00,0
290,2,강남,2022-01-13 01,0
291,2,강남,2022-01-13 02,0
292,2,강남,2022-01-13 03,0
293,2,강남,2022-01-13 04,0
294,2,강남,2022-01-13 05,0
295,2,강남,2022-01-13 06,0
296,2,강남,2022-01-13 07,0
297,2,강남,2022-01-13 08,1
298,2,강남,2022-01-13 09,1
299,2,강남,2022-01-13 10,1
300,2,강남,2022-01-13 11,1
301,2,강남,2022-01-13 12,0
302,2,강남,2022-01-13 13,1
303,2,강남,2022-01-13 14,1
304,2,강남,2022-01-13 15,1
305,2,강남,2022-01-13 16,1
306,2,강남,2022-01-13 17,1
307,2,강남,2022-01-13 18,1
308,2,강남,2022-01-13 19,1
309,2,강남,2022-01-13 20,1
310,2,강남,2022-01-13 21,1
311,2,강남,2022-01-13 22,0
312,2,강남,2022-01-13 23,0
313,2,강남,2022-01-14 00,0
314,2,강남,2022-01-14 01,0
315,2,강남,2022-01-14 02,0
316,2,강남,2022-01-14 03,0
317,2,강남,2022-01-14 04,0
318,2,강남,2022-01-14 05,0
319,2,강남,2022-01-14 06,0
320,2,강남,2022-01-14 07,1
321,2,강남,2022-01-14 08,1
322,2,강남,2022-01-14 09,1
323,2,강남,2022-01-14 10,1
324,2,강남,2022-01-14 11,1
325,2,강남,2022-01-14 12,1
326,2,강남,2022-01-14 13,1
327,2,강남,2022-01-14 14,1
328,2,강남,2022-01-14 15,1
329,2,강남,2022-01-14 16,1
330,2,강남,2022-01-14 17,1
331,2,강남,2022-01-14 18,1
332,2,강남,2022-01-14 19,1
333,2,강남,2022-01-14 20,1
334,2,강남,2022-01-14 21,1
335,2,강남,2022-01-14 22,0
336,2,강남,2022-01-14 23,0
337,2,강남,2022-01-15 00,0
338,2,강남,2022-01-15 01,1
339,2,강남,2022-01-15 02,1
340,2,강남,2022-01-15 03,1
341,2,강남,2022-01-15 04,0
342,2,강남,2022-01-15 05,0
343,2,강남,2022-01-15 06,0
344,2,강남,2022-01-15 07,1
345,2,강남,2022-01-15 08,0
346,2,강남,2022-01-15 09,1
347,2,강남,2022-01-15 10,1
348,2,강남,2022-01-15 11,1
349,2,강남,2022-01-15 12,1
350,2,강남,2022-01-15 13,1
351,2,강남,2022-01-15 14,1
352,2,강남,2022-01-15 15,1
353,2,강남,2022-01-15 16,1
354,2,강남,2022-01-15 17,1
355,2,강남,2022-01-15 18,1
356,2,강남,2022-01-15 19,1
357,2,강남,2022-01-15 20,1
358,2,강남,2022-01-15 21,1
359,2,강남,2022-01-15 22,0
360,2,강남,2022-01-15 23,0
361,2,강남,2022-01-16 00,1
362,2,강남,2022-01-16 01,0
363,2,강남,2022-01-16 02,1
364,2,강남,2022-01-16 03,1
365,2,강남,2022-01-16 04,1
366,2,강남,2022-01-16 05,1
367,2,강남,2022-01-16 06,1
368,2,강남,2022-01-16 07,1
369,2,강남,2022-01-16 08,1
370,2,강남,2022-01-16 09,1
371,2,강남,2022-01-16 10,0
372,2,강남,2022-01-16 11,0
373,2,강남,2022-01-16 12,0
374,2,강남,2022-01-16 13,0
375,2,강남,2022-01-16 14,0
376,2,강남,2022-01-16 15,0
377,2,강남,2022-01-16 16,0
378,2,강남,2022-01-16 17,0
379,2,강남,2022-01-16 18,0
380,2,강남,2022-01-16 19,0
381,2,강남,2022-01-16 20,0
382,2,강남,2022-01-16 21,0
383,2,강남,2022-01-16 22,0
384,2,강남,2022-01-16 23,0
385,2,강남,2022-01-17 00,0
386,2,강남,2022-01-17 01,0
387,2,강남,2022-01-17 02,0
388,2,강남,2022-01-17 03,0
389,2,강남,2022-01-17 04,0
390,2,강남,2022-01-17 05,0
391,2,강남,2022-01-17 06,0
392,2,강남,2022-01-17 07,0
393,2,강남,2022-01-17 08,1
394,2,강남,2022-01-17 09,1
395,2,강남,2022-01-17 10,1
396,2,강남,2022-01-17 11,0
397,2,강남,2022-01-17 12,0
398,2,강남,2022-01-17 13,1
399,2,강남,2022-01-17 14,0
400,2,강남,2022-01-17 15,0
401,2,강남,2022-01-17 16,0
402,2,강남,2022-01-17 17,1
403,2,강남,2022-01-17 18,1
404,2,강남,2022-01-17 19,0
405,2,강남,2022-01-17 20,0
406,2,강남,2022-01-17 21,0
407,2,강남,2022-01-17 22,0
408,2,강남,2022-01-17 23,0
409,2,강남,2022-01-18 00,0
410,2,강남,2022-01-18 01,1
411,2,강남,2022-01-18 02,0
412,2,강남,2022-01-18 03,0
413,2,강남,2022-01-18 04,0
414,2,강남,2022-01-18 05,0
415,2,강남,2022-01-18 06,1
416,2,강남,2022-01-18 07,1
417,2,강남,2022-01-18 08,1
418,2,강남,2022-01-18 09,1
419,2,강남,2022-01-18 10,1
420,2,강남,2022-01-18 11,1
421,2,강남,2022-01-18 12,1
422,2,강남,2022-01-18 13,1
423,2,강남,2022-01-18 14,1
424,2,강남,2022-01-18 15,1
425,2,강남,2022-01-18 16,1
426,2,강남,2022-01-18 17,1
427,2,강남,2022-01-18 18,1
428,2,강남,2022-01-18 19,1
429,2,강남,2022-01-18 20,1
430,2,강남,2022-01-18 21,1
431,2,강남,2022-01-18 22,1
432,2,강남,2022-01-18 23,1
433,2,강남,2022-01-19 00,1
434,2,강남,2022-01-19 01,0
435,2,강남,2022-01-19 02,1
436,2,강남,2022-01-19 03,1
437,2,강남,2022-01-19 04,1
438,2,강남,2022-01-19 05,0
439,2,강남,2022-01-19 06,0
440,2,강남,2022-01-19 07,1
441,2,강남,2022-01-19 08,1
442,2,강남,2022-01-19 09,1
443,2,강남,2022-01-19 10,1
444,2,강남,2022-01-19 11,1
445,2,강남,2022-01-19 12,1
446,2,강남,2022-01-19 13,1
447,2,강남,2022-01-19 14,1
448,2,강남,2022-01-19 15,1
449,2,강남,2022-01-19 16,1
450,2,강남,2022-01-19 17,1
451,2,강남,2022-01-19 18,1
452,2,강남,2022-01-19 19,1
453,2,강남,2022-01-19 20,1
454,2,강남,2022-01-19 21,1
455,2,강남,2022-01-19 22,0
456,2,강남,2022-01-19 23,0
457,2,강남,2022-01-20 00,0
458,2,강남,2022-01-20 01,0
459,2,강남,2022-01-20 02,1
460,2,강남,2022-01-20 03,1
461,2,강남,2022-01-20 04,0
462,2,강남,2022-01-20 05,0
463,2,강남,2022-01-20 06,0
464,2,강남,2022-01-20 07,1
465,2,강남,2022-01-20 08,1
466,2,강남,2022-01-20 09,1
467,2,강남,2022-01-20 10,1
468,2,강남,2022-01-20 11,1
469,2,강남,2022-01-20 12,1
470,2,강남,2022-01-20 13,1
471,2,강남,2022-01-20 14,1
472,2,강남,2022-01-20 15,1
473,2,강남,2022-01-20 16,1
474,2,강남,2022-01-20 17,1
475,2,강남,2022-01-20 18,1
476,2,강남,2022-01-20 19,1
477,2,강남,2022-01-20 20,1
478,2,강남,2022-01-20 21,1
479,2,강남,2022-01-20 22,1
480,2,강남,2022-01-20 23,0
481,2,강남,2022-01-21 00,0
482,2,강남,2022-01-21 01,0
483,2,강남,2022-01-21 02,0
484,2,강남,2022-01-21 03,1
485,2,강남,2022-01-21 04,1
486,2,강남,2022-01-21 05,1
487,2,강남,2022-01-21 06,0
488,2,강남,2022-01-21 07,1
489,2,강남,2022-01-21 08,1
490,2,강남,2022-01-21 09,1
491,2,강남,2022-01-21 10,1
492,2,강남,2022-01-21 11,1
493,2,강남,2022-01-21 12,1
494,2,강남,2022-01-21 13,1
495,2,강남,2022-01-21 14,1
496,2,강남,2022-01-21 15,1
497,2,강남,2022-01-21 16,1
498,2,강남,2022-01-21 17,1
499,2,강남,2022-01-21 18,1
500,2,강남,2022-01-21 19,1
501,2,강남,2022-01-21 20,1
502,2,강남,2022-01-21 21,1
503,2,강남,2022-01-21 22,1
504,2,강남,2022-01-21 23,0
505,2,강남,2022-01-22 00,0
506,2,강남,2022-01-22 01,0
507,2,강남,2022-01-22 02,0
508,2,강남,2022-01-22 03,0
509,2,강남,2022-01-22 04,0
510,2,강남,2022-01-22 05,0
511,2,강남,2022-01-22 06,0
512,2,강남,2022-01-22 07,1
513,2,강남,2022-01-22 08,0
514,2,강남,2022-01-22 09,0
515,2,강남,2022-01-22 10,1
516,2,강남,2022-01-22 11,0
517,2,강남,2022-01-22 12,1
518,2,강남,2022-01-22 13,1
519,2,강남,2022-01-22 14,1
520,2,강남,2022-01-22 15,1
521,2,강남,2022-01-22 16,1
522,2,강남,2022-01-22 17,1
523,2,강남,2022-01-22 18,1
524,2,강남,2022-01-22 19,1
525,2,강남,2022-01-22 20,1
526,2,강남,2022-01-22 21,1
527,2,강남,2022-01-22 22,1
528,2,강남,2022-01-22 23,1
529,2,강남,2022-01-23 00,1
530,2,강남,2022-01-23 01,1
531,2,강남,2022-01-23 02,1
532,2,강남,2022-01-23 03,0
533,2,강남,2022-01-23 04,1
534,2,강남,2022-01-23 05,1
535,2,강남,2022-01-23 06,1
536,2,강남,2022-01-23 07,1
537,2,강남,2022-01-23 08,1
538,2,강남,2022-01-23 09,1
539,2,강남,2022-01-23 10,1
540,2,강남,2022-01-23 11,0
541,2,강남,2022-01-23 12,1
542,2,강남,2022-01-23 13,1
543,2,강남,2022-01-23 14,1
544,2,강남,2022-01-23 15,1
545,2,강남,2022-01-23 16,1
546,2,강남,2022-01-23 17,1
547,2,강남,2022-01-23 18,1
548,2,강남,2022-01-23 19,1
549,2,강남,2022-01-23 20,1
550,2,강남,2022-01-23 21,1
551,2,강남,2022-01-23 22,1
552,2,강남,2022-01-23 23,1
553,2,강남,2022-01-24 00,0
554,2,강남,2022-01-24 01,0
555,2,강남,2022-01-24 02,0
556,2,강남,2022-01-24 03,0
557,2,강남,2022-01-24 04,0
558,2,강남,2022-01-24 05,0
559,2,강남,2022-01-24 06,0
560,2,강남,2022-01-24 07,0
561,2,강남,2022-01-24 08,1
562,2,강남,2022-01-24 09,1
563,2,강남,2022-01-24 10,1
564,2,강남,2022-01-24 11,0
565,2,강남,2022-01-24 12,0
566,2,강남,2022-01-24 13,0
567,2,강남,2022-01-24 14,0
568,2,강남,2022-01-24 15,0
569,2,강남,2022-01-24 16,1
570,2,강남,2022-01-24 17,0
571,2,강남,2022-01-24 18,1
572,2,강남,2022-01-24 19,1
573,2,강남,2022-01-24 20,0
574,2,강남,2022-01-24 21,0
575,2,강남,2022-01-24 22,0
576,2,강남,2022-01-24 23,0
577,2,강남,2022-01-25 00,0
578,2,강남,2022-01-25 01,0
579,2,강남,2022-01-25 02,0
580,2,강남,2022-01-25 03,0
581,2,강남,2022-01-25 04,0
582,2,강남,2022-01-25 05,0
583,2,강남,2022-01-25 06,0
584,2,강남,2022-01-25 07,0
585,2,강남,2022-01-25 08,1
586,2,강남,2022-01-25 09,1
587,2,강남,2022-01-25 10,1
588,2,강남,2022-01-25 11,0
589,2,강남,2022-01-25 12,0
590,2,강남,2022-01-25 13,0
591,2,강남,2022-01-25 14,0
592,2,강남,2022-01-25 15,1
593,2,강남,2022-01-25 16,1
594,2,강남,2022-01-25 17,1
595,2,강남,2022-01-25 18,1
596,2,강남,2022-01-25 19,1
597,2,강남,2022-01-25 20,1
598,2,강남,2022-01-25 21,1
599,2,강남,2022-01-25 22,1
600,2,강남,2022-01-25 23,0
601,2,강남,2022-01-26 00,1
602,2,강남,2022-01-26 01,1
603,2,강남,2022-01-26 02,1
604,2,강남,2022-01-26 03,1
605,2,강남,2022-01-26 04,1
606,2,강남,2022-01-26 05,1
607,2,강남,2022-01-26 06,0
608,2,강남,2022-01-26 07,1
609,2,강남,2022-01-26 08,1
610,2,강남,2022-01-26 09,1
611,2,강남,2022-01-26 10,1
612,2,강남,2022-01-26 11,1
613,2,강남,2022-01-26 12,1
614,2,강남,2022-01-26 13,1
615,2,강남,2022-01-26 14,1
616,2,강남,2022-01-26 15,1
617,2,강남,2022-01-26 16,1
618,2,강남,2022-01-26 17,1
619,2,강남,2022-01-26 18,1
620,2,강남,2022-01-26 19,1
621,2,강남,2022-01-26 20,1
622,2,강남,2022-01-26 21,1
623,2,강남,2022-01-26 22,0
624,2,강남,2022-01-26 23,0
625,2,강남,2022-01-27 00,1
626,2,강남,2022-01-27 01,1
627,2,강남,2022-01-27 02,1
628,2,강남,2022-01-27 03,1
629,2,강남,2022-01-27 04,1
630,2,강남,2022-01-27 05,1
631,2,강남,2022-01-27 06,1
632,2,강남,2022-01-27 07,1
633,2,강남,2022-01-27 08,1
634,2,강남,2022-01-27 09,1
635,2,강남,2022-01-27 10,1
636,2,강남,2022-01-27 11,1
637,2,강남,2022-01-27 12,1
638,2,강남,2022-01-27 13,1
639,2,강남,2022-01-27 14,1
640,2,강남,2022-01-27 15,1
641,2,강남,2022-01-27 16,0
642,2,강남,2022-01-27 17,1
643,2,강남,2022-01-27 18,1
644,2,강남,2022-01-27 19,1
645,2,강남,2022-01-27 20,1
646,2,강남,2022-01-27 21,1
647,2,강남,2022-01-27 22,1
648,2,강남,2022-01-27 23,1
649,2,강남,2022-01-28 00,0
650,2,강남,2022-01-28 01,1
651,2,강남,2022-01-28 02,0
652,2,강남,2022-01-28 03,0
653,2,강남,2022-01-28 04,0
654,2,강남,2022-01-28 05,0
655,2,강남,2022-01-28 06,0
656,2,강남,2022-01-28 07,0
657,2,강남,2022-01-28 08,1
658,2,강남,2022-01-28 09,1
659,2,강남,2022-01-28 10,1
660,2,강남,2022-01-28 11,1
661,2,강남,2022-01-28 12,0
662,2,강남,2022-01-28 13,0
663,2,강남,2022-01-28 14,0
664,2,강남,2022-01-28 15,0
665,2,강남,2022-01-28 16,0
666,2,강남,2022-01-28 17,1
667,2,강남,2022-01-28 18,1
668,2,강남,2022-01-28 19,1
669,2,강남,2022-01-28 20,0
670,2,강남,2022-01-28 21,0
671,2,강남,2022-01-28 22,0
672,2,강남,2022-01-28 23,0
673,2,강남,2022-01-29 00,0
674,2,강남,2022-01-29 01,0
675,2,강남,2022-01-29 02,0
676,2,강남,2022-01-29 03,0
677,2,강남,2022-01-29 04,0
678,2,강남,2022-01-29 05,0
679,2,강남,2022-01-29 06,0
680,2,강남,2022-01-29 07,0
681,2,강남,2022-01-29 08,0
682,2,강남,2022-01-29 09,0
683,2,강남,2022-01-29 10,0
684,2,강남,2022-01-29 11,0
685,2,강남,2022-01-29 12,0
686,2,강남,2022-01-29 13,0
687,2,강남,2022-01-29 14,0
688,2,강남,2022-01-29 15,0
689,2,강남,2022-01-29 16,0
690,2,강남,2022-01-29 17,0
691,2,강남,2022-01-29 18,0
692,2,강남,2022-01-29 19,0
693,2,강남,2022-01-29 20,0
694,2,강남,2022-01-29 21,0
695,2,강남,2022-01-29 22,0
696,2,강남,2022-01-29 23,0
697,2,강남,2022-01-30 00,0
698,2,강남,2022-01-30 01,0
699,2,강남,2022-01-30 02,0
700,2,강남,2022-01-30 03,0
701,2,강남,2022-01-30 04,0
702,2,강남,2022-01-30 05,0
703,2,강남,2022-01-30 06,0
704,2,강남,2022-01-30 07,0
705,2,강남,2022-01-30 08,0
706,2,강남,2022-01-30 09,0
707,2,강남,2022-01-30 10,0
708,2,강남,2022-01-30 11,0
709,2,강남,2022-01-30 12,0
710,2,강남,2022-01-30 13,0
711,2,강남,2022-01-30 14,0
712,2,강남,2022-01-30 15,0
713,2,강남,2022-01-30 16,0
714,2,강남,2022-01-30 17,0
715,2,강남,2022-01-30 18,0
716,2,강남,2022-01-30 19,0
717,2,강남,2022-01-30 20,0
718,2,강남,2022-01-30 21,0
719,2,강남,2022-01-30 22,0
720,2,강남,2022-01-30 23,0
721,2,강남,2022-01-31 00,0
722,2,강남,2022-01-31 01,0
723,2,강남,2022-01-31 02,0
724,2,강남,2022-01-31 03,0
725,2,강남,2022-01-31 04,0
726,2,강남,2022-01-31 05,0
727,2,강남,2022-01-31 06,0
728,2,강남,2022-01-31 07,0
729,2,강남,2022-01-31 08,0
730,2,강남,2022-01-31 09,0
731,2,강남,2022-01-31 10,0
732,2,강남,2022-01-31 11,0
733,2,강남,2022-01-31 12,0
734,2,강남,2022-01-31 13,0
735,2,강남,2022-01-31 14,0
736,2,강남,2022-01-31 15,0
737,2,강남,2022-01-31 16,0
738,2,강남,2022-01-31 17,0
739,2,강남,2022-01-31 18,0
740,2,강남,2022-01-31 19,0
741,2,강남,2022-01-31 20,0
742,2,강남,2022-01-31 21,0
743,2,강남,2022-01-31 22,0
744,2,강남,2022-01-31 23,0
745,2,강남,2022-02-01 00,1
746,2,강남,2022-02-01 01,1
747,2,강남,2022-02-01 02,0
748,2,강남,2022-02-01 03,0
749,2,강남,2022-02-01 04,0
750,2,강남,2022-02-01 05,0
751,2,강남,2022-02-01 06,0
752,2,강남,2022-02-01 07,0
753,2,강남,2022-02-01 08,0
754,2,강남,2022-02-01 09,0
755,2,강남,2022-02-01 10,1
756,2,강남,2022-02-01 11,1
757,2,강남,2022-02-01 12,1
758,2,강남,2022-02-01 13,1
759,2,강남,2022-02-01 14,1
760,2,강남,2022-02-01 15,1
761,2,강남,2022-02-01 16,1
762,2,강남,2022-02-01 17,1
763,2,강남,2022-02-01 18,1
764,2,강남,2022-02-01 19,1
765,2,강남,2022-02-01 20,1
766,2,강남,2022-02-01 21,1
767,2,강남,2022-02-01 22,1
768,2,강남,2022-02-01 23,1
769,2,강남,2022-02-02 00,0
770,2,강남,2022-02-02 01,1
771,2,강남,2022-02-02 02,1
772,2,강남,2022-02-02 03,1
773,2,강남,2022-02-02 04,1
774,2,강남,2022-02-02 05,0
775,2,강남,2022-02-02 06,0
776,2,강남,2022-02-02 07,0
