연번,수송일자,호선,역명,승하차구분,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후
52,2022-01-03,2호선,신림,하차,111,573,1225,2445,1745,1333,1278,1550,1788,2176,2618,3413,4975,10481,8413,4582,5456,2840,1152,
53,2022-01-03,2호선,홍대입구,승차,384,728,2332,2879,1689,1009,1145,1356,1628,1909,2189,2786,3915,5483,3950,4637,6207,2019,389,
54,2022-01-03,2호선,홍대입구,하차,95,466,1198,4341,4192,2165,2222,2812,3144,3127,3282,3488,4161,5455,3339,1558,1521,934,500,
55,2022-01-03,4호선,서울역,승차,127,191,442,620,375,252,304,320,295,380,471,518,1660,2557,864,508,505,172,50,
56,2022-01-03,4호선,서울역,하차,29,431,1467,3498,1485,591,494,626,544,552,617,628,687,885,569,421,423,210,107,
57,2022-01-03,4호선,사당,승차,387,965,2647,3476,2532,1043,806,890,924,863,790,909,1116,1585,917,882,988,394,102,
58,2022-01-03,4호선,사당,하차,49,439,776,1461,937,565,656,595,663,683,886,1077,1633,2861,1922,1072,1156,595,285,
59,2022-01-03,7호선,건대입구,승차,115,162,459,765,504,408,469,449,479,587,692,907,1304,1205,800,910,846,336,110,
60,2022-01-03,7호선,건대입구,하차,30,270,709,1423,950,638,520,613,700,649,636,619,869,1445,873,397,421,222,117,
61,2022-01-04,1호선,서울역,승차,315,420,1401,2135,1465,1357,1506,1791,1817,1753,2097,2384,4540,7553,2928,2269,2424,849,217,
62,2022-01-04,1호선,서울역,하차,173,1185,3427,8006,4317,1902,1632,1506,1578,1383,1662,1569,1811,2442,1333,842,974,393,176,
63,2022-01-04,2호선,잠실,승차,346,1749,4551,6327,4446,2450,2213,2454,2672,2708,3217,3576,5171,7312,4337,4793,4332,1743,311,
64,2022-01-04,2호선,잠실,하차,163,1111,2785,6691,5009,2915,2692,2617,2848,2726,3101,3588,5111,8010,5536,3100,4029,1765,597,
65,2022-01-04,2호선,삼성,승차,155,237,494,732,772,756,1072,1171,1455,1901,2562,3182,7126,12678,6394,4561,4109,1253,261,
66,2022-01-04,2호선,삼성,하차,188,1405,5131,14539,9672,3145,2215,1857,1922,1703,1545,1431,1699,1873,1081,510,607,264,139,
67,2022-01-04,2호선,강남,승차,186,523,1424,2632,1809,1738,2411,3022,3684,3909,5067,5632,9184,14111,8739,7627,9818,3571,545,
68,2022-01-04,2호선,강남,하차,413,1940,6148,13814,14211,6189,3831,3535,4437,3646,3461,3919,4416,6428,3121,1385,1772,734,299,
69,2022-01-04,2호선,사당,승차,370,893,2879,4244,2648,1548,1283,1481,1481,1497,1536,1626,2247,3651,1933,1891,2501,813,186,
70,2022-01-04,2호선,사당,하차,134,839,1724,2805,1645,1248,1255,1292,1409,1476,1727,2145,3619,5603,3827,2133,2706,1345,510,
71,2022-01-04,2호선,신림,승차,1372,2736,8267,13142,6990,2978,2261,2250,2413,2174,2012,2316,2540,2798,1577,1568,1751,864,212,
72,2022-01-04,2호선,신림,하차,118,648,1190,2491,1766,1322,1395,1498,1869,2107,2611,3586,4933,10505,8590,4574,5986,3159,1128,
73,2022-01-04,2호선,홍대입구,승차,352,721,2348,3112,1771,1098,1176,1457,1712,1923,2342,3013,4242,5628,4108,5180,6769,2072,361,
74,2022-01-04,2호선,홍대입구,하차,97,481,1249,4229,4125,2444,2340,3033,3479,3238,3363,3585,4279,5879,3480,1589,1779,908,523,
75,2022-01-04,4호선,서울역,승차,165,192,466,575,369,250,313,344,361,398,384,526,1633,2482,803,554,605,222,53,
76,2022-01-04,4호선,서울역,하차,26,361,1475,3348,1528,607,508,617,576,578,654,670,772,962,614,400,509,262,119,
77,2022-01-04,4호선,사당,승차,350,918,2651,3691,2433,1263,1003,1001,956,931,890,1031,1237,1704,903,903,1202,459,104,
78,2022-01-04,4호선,사당,하차,49,442,792,1408,895,748,691,717,711,689,811,1152,1910,3006,1963,1009,1356,624,341,
79,2022-01-04,7호선,건대입구,승차,107,158,451,747,577,416,453,440,562,578,707,890,1351,1214,818,911,978,335,113,
80,2022-01-04,7호선,건대입구,하차,33,269,727,1301,1054,684,497,613,770,695,660,705,870,1377,903,459,487,253,129,
81,2022-01-05,1호선,서울역,승차,313,394,1381,1996,1667,1360,1636,1783,1822,1577,1730,2402,4412,7459,2937,2240,2524,947,282,
82,2022-01-05,1호선,서울역,하차,203,1193,3324,8071,4571,1996,1623,1682,1604,1349,1393,1646,1898,2245,1228,832,930,384,244,
83,2022-01-05,2호선,잠실,승차,377,1680,4543,6535,4479,2497,2421,2473,2655,2841,3245,3579,5186,6750,4017,4762,4572,2004,274,
84,2022-01-05,2호선,잠실,하차,182,1061,2658,5988,4499,2965,2764,2881,3033,2970,3085,3444,5207,8613,5218,3006,4277,1801,603,
85,2022-01-05,2호선,삼성,승차,167,255,559,774,764,810,1067,1154,1562,1924,2626,3336,7219,12518,6204,4535,4379,1314,229,
86,2022-01-05,2호선,삼성,하차,156,1480,4910,14417,9621,3255,2277,1852,2136,1982,1630,1503,1670,2092,1000,507,649,238,194,
87,2022-01-05,2호선,강남,승차,209,533,1385,2579,1803,1842,2396,2973,3730,4185,5065,5516,9347,13673,8228,7420,10243,3735,683,
88,2022-01-05,2호선,강남,하차,409,2016,6180,12602,14796,5911,3735,3584,4345,3845,3638,3649,4560,6593,3207,1375,1722,814,325,
89,2022-01-05,2호선,사당,승차,380,881,2813,4197,2852,1373,1313,1466,1487,1500,1484,1762,2320,3597,2003,2016,2830,820,186,
90,2022-01-05,2호선,사당,하차,125,835,1678,2734,1661,1194,1338,1341,1449,1467,1583,2245,3782,5692,3907,2192,2836,1412,582,
91,2022-01-05,2호선,신림,승차,1356,2697,8135,13193,6853,3009,2372,2371,2400,2133,2122,2364,2840,3090,1587,1517,1764,927,213,
92,2022-01-05,2호선,신림,하차,108,634,1201,2444,1870,1466,1457,1723,1922,2057,2778,3410,4934,9945,8726,4596,5736,3722,1255,
93,2022-01-05,2호선,홍대입구,승차,368,724,2294,2961,1802,1063,1285,1581,1757,1950,2355,2975,4213,5650,4152,5031,7446,2205,377,
94,2022-01-05,2호선,홍대입구,하차,110,468,1204,4228,4215,2397,2622,3129,3493,3234,3605,3690,4612,6041,3558,1592,1738,1002,518,
95,2022-01-05,4호선,서울역,승차,152,182,430,559,366,285,345,383,401,394,414,578,1599,2486,782,538,668,206,51,
96,2022-01-05,4호선,서울역,하차,21,326,1340,3390,1519,664,620,568,643,538,598,562,824,941,583,363,539,274,121,
97,2022-01-05,4호선,사당,승차,365,813,2614,3822,2497,1188,968,1015,1032,886,904,1001,1291,1605,998,966,1305,451,122,
98,2022-01-05,4호선,사당,하차,40,459,786,1438,861,658,694,718,754,731,811,1148,1817,3169,2011,1029,1347,674,354,
99,2022-01-05,7호선,건대입구,승차,99,142,434,763,581,391,472,505,522,538,701,844,1333,1236,739,906,980,384,142,
100,2022-01-05,7호선,건대입구,하차,32,274,673,1389,933,676,542,691,693,668,649,603,928,1395,811,485,482,272,144,
101,2022-01-06,1호선,서울역,승차,317,375,1197,2255,1487,1417,1527,1746,1913,1941,2243,2703,4813,7440,2963,2310,2617,934,278,
102,2022-01-06,1호선,서울역,하차,177,1278,3482,8141,4564,2055,1599,1694,1719,1541,1712,1747,2072,2430,1420,1045,1142,447,275,
103,2022-01-06,2호선,잠실,승차,357,1688,4450,6199,4301,2663,2498,2558,2715,2908,3262,3868,5405,7350,4491,5399,4747,1801,288,
104,2022-01-06,2호선,잠실,하차,167,1038,2730,6563,5168,3277,3091,2792,2863,3082,3107,3863,5315,8097,5439,3242,4174,2104,631,
105,2022-01-06,2호선,삼성,승차,153,247,530,804,759,826,1135,1276,1656,2052,2744,3412,7228,12159,6146,4657,4589,1355,246,
106,2022-01-06,2호선,삼성,하차,193,1382,5137,14169,9335,3498,2371,1978,2279,1927,1712,1564,1866,2041,1112,521,617,270,180,
107,2022-01-06,2호선,강남,승차,185,434,1169,2506,2182,1727,2310,3022,3945,3978,5024,5793,9164,13621,8312,7669,10767,3878,656,
108,2022-01-06,2호선,강남,하차,416,1950,6062,13621,13948,6045,3868,3848,4494,3786,3712,3916,4920,6809,3242,1479,1767,869,303,
109,2022-01-06,2호선,사당,승차,381,881,2780,4098,2947,1511,1265,1450,1545,1510,1631,1801,2333,3461,1972,2128,2991,938,242,
110,2022-01-06,2호선,사당,하차,123,840,1562,2761,1762,1264,1433,1366,1468,1506,1840,2376,3662,5700,3907,2135,3021,1512,642,
111,2022-01-06,2호선,신림,승차,1385,2731,8211,13185,6868,2992,2418,2370,2290,2247,2200,2530,2858,3174,1621,1629,1866,886,230,
112,2022-01-06,2호선,신림,하차,113,668,1260,2420,1780,1489,1541,1655,1838,2072,2784,3567,4709,9635,9264,4765,5838,3896,1328,
113,2022-01-06,2호선,홍대입구,승차,346,705,2290,2959,1694,1153,1392,1778,1959,2064,2525,3218,4421,5913,4091,5393,8019,2474,354,
114,2022-01-06,2호선,홍대입구,하차,104,478,1486,4356,4287,2439,2503,3352,3661,3546,3842,4090,4495,6394,3696,1644,1981,993,532,
115,2022-01-06,4호선,서울역,승차,132,179,401,587,372,274,366,404,396,446,450,603,1540,2423,775,549,596,216,66,
116,2022-01-06,4호선,서울역,하차,30,343,1367,3381,1556,684,601,608,646,597,717,734,883,1013,662,480,571,340,130,
117,2022-01-06,4호선,사당,승차,370,841,2742,3319,2672,1319,968,1025,1049,978,1014,988,1352,1668,914,1042,1478,484,115,
118,2022-01-06,4호선,사당,하차,38,468,753,1421,980,676,758,797,799,791,911,1185,1805,3216,2008,1062,1418,768,358,
119,2022-01-06,7호선,건대입구,승차,102,134,464,741,550,443,424,474,561,556,739,916,1287,1263,773,884,1034,340,142,
120,2022-01-06,7호선,건대입구,하차,36,265,670,1434,985,707,534,616,722,620,683,653,843,1417,916,408,504,266,145,
121,2022-01-07,1호선,서울역,승차,323,392,1213,1974,1510,1432,1850,2200,2106,1956,2578,3327,5013,7499,3622,2338,2978,1096,299,
122,2022-01-07,1호선,서울역,하차,176,1239,3154,7642,4274,2079,1789,1903,2021,1929,2030,1999,3095,3566,2255,1195,1308,547,293,
123,2022-01-07,2호선,잠실,승차,381,1655,4528,6061,4100,2421,2584,2795,2988,3139,3591,4612,6178,7517,4667,5242,5292,1886,402,
124,2022-01-07,2호선,잠실,하차,174,1000,2634,6287,4828,3067,3038,3238,3164,3364,3573,4146,5891,9096,5375,3109,4527,1966,758,
125,2022-01-07,2호선,삼성,승차,172,227,522,747,711,793,1233,1378,1820,2312,3130,3987,7937,12272,5440,4012,4242,1334,285,
126,2022-01-07,2호선,삼성,하차,203,1364,4927,13226,8973,3328,2450,2091,2113,1992,1888,1640,2145,2650,1263,546,743,292,179,
127,2022-01-07,2호선,강남,승차,209,490,1403,2526,1730,1751,2494,3367,3947,4425,5274,6381,10023,14066,8452,7707,11722,4039,659,
128,2022-01-07,2호선,강남,하차,437,1914,5869,13251,13625,5854,4202,4137,4585,4270,4192,4397,5852,8314,3730,1468,2086,940,429,
129,2022-01-07,2호선,사당,승차,369,893,2711,4085,2677,1423,1353,1516,1548,1650,1614,2003,2799,3768,2028,2072,3376,1011,270,
130,2022-01-07,2호선,사당,하차,109,817,1496,2716,1654,1228,1437,1363,1497,1596,1889,2745,4212,6350,3858,2073,3066,1494,826,
131,2022-01-07,2호선,신림,승차,1420,2649,8032,12606,6828,3165,2455,2467,2469,2300,2334,2607,3130,3292,1830,1857,2222,1087,297,
132,2022-01-07,2호선,신림,하차,130,616,1228,2301,1753,1495,1422,1671,2113,2326,2956,3722,5456,9990,8841,4734,6133,3714,1485,
133,2022-01-07,2호선,홍대입구,승차,368,658,2218,2849,1738,1165,1769,1943,1864,2165,2761,3828,5790,6119,4368,5530,9053,2695,541,
134,2022-01-07,2호선,홍대입구,하차,106,483,1104,4421,4638,2566,2711,3831,4103,4061,4210,4625,5452,7671,4220,1718,2119,1109,629,
135,2022-01-07,4호선,서울역,승차,153,196,416,556,399,301,441,434,401,445,481,633,1547,2290,743,503,545,178,56,
136,2022-01-07,4호선,서울역,하차,24,331,1227,3035,1461,744,589,677,721,761,828,913,1114,1536,959,622,676,412,146,
137,2022-01-07,4호선,사당,승차,341,870,2588,3579,2270,1128,1019,1028,1056,1031,1075,1141,1684,1844,1201,1150,1733,521,116,
138,2022-01-07,4호선,사당,하차,40,446,703,1375,895,653,751,848,782,802,955,1342,2137,3347,2003,1061,1363,721,501,
139,2022-01-07,7호선,건대입구,승차,110,148,482,757,583,456,441,491,570,592,746,962,1360,1258,791,1054,1190,397,128,
140,2022-01-07,7호선,건대입구,하차,38,247,679,1358,1016,682,528,660,716,716,751,705,1092,1472,1026,436,576,292,153,
141,2022-01-08,1호선,서울역,승차,294,205,448,896,1172,1574,2114,2306,2200,2003,2225,2313,2207,1710,1473,1387,1662,803,275,
142,2022-01-08,1호선,서울역,하차,166,898,1141,1441,2261,1936,1806,2183,2148,1962,1957,1774,1764,1514,1178,1017,1216,499,232,
143,2022-01-08,2호선,잠실,승차,292,651,943,1747,2031,2199,2749,3421,3989,4056,4747,5586,5590,4657,3895,6184,6215,1726,311,
144,2022-01-08,2호선,잠실,하차,131,831,1050,1807,3291,3227,4249,4633,5028,5012,5228,5042,5142,3521,2281,2348,3613,1507,482,
145,2022-01-08,2호선,삼성,승차,137,167,196,300,426,570,924,1303,1700,1931,2303,3030,3216,2833,2292,3420,2446,696,136,
146,2022-01-08,2호선,삼성,하차,76,675,958,1721,2257,2212,2460,2781,2720,2663,2326,2190,1797,1118,565,429,548,197,123,
147,2022-01-08,2호선,강남,승차,197,406,420,698,994,1789,2511,3253,4056,4298,5537,6192,5928,4560,3369,5322,8171,2373,551,
148,2022-01-08,2호선,강남,하차,227,906,1202,2975,6091,4300,4407,4899,5832,5291,4771,5294,4935,3121,1557,1375,1670,780,324,
149,2022-01-08,2호선,사당,승차,254,530,714,1160,1403,1344,1617,1932,2027,2121,2146,2161,2032,1705,1579,2076,2752,775,223,
150,2022-01-08,2호선,사당,하차,101,1061,706,937,1427,1532,1682,2000,2097,2027,2303,2625,2874,2216,1491,1437,2884,1262,489,
151,2022-01-08,2호선,신림,승차,980,1408,2000,3605,4045,3211,3299,3721,3666,3309,3241,3138,2901,2079,1511,1738,2234,977,289,
152,2022-01-08,2호선,신림,하차,104,506,666,1048,1348,1559,1922,2438,2679,2933,3225,4093,4097,4410,3136,3027,5077,2706,1269,
153,2022-01-08,2호선,홍대입구,승차,284,383,497,864,979,1180,1582,2050,2675,3145,3834,4704,5194,4574,4713,7764,11008,2972,555,
154,2022-01-08,2호선,홍대입구,하차,107,353,418,972,2045,2601,4310,6059,6973,7499,7603,7024,6277,4091,1987,1186,1842,937,521,
155,2022-01-08,4호선,서울역,승차,124,117,143,218,266,288,382,422,362,304,360,379,389,330,226,208,298,133,61,
156,2022-01-08,4호선,서울역,하차,22,280,327,514,700,712,619,835,811,884,860,845,947,680,605,516,743,280,139,
157,2022-01-08,4호선,사당,승차,270,345,558,954,1278,1331,1381,1629,1655,1448,1507,1327,1310,938,899,1163,1398,383,97,
158,2022-01-08,4호선,사당,하차,47,655,386,423,675,801,1015,1278,1227,1154,1287,1497,1689,1274,845,790,1289,643,346,
159,2022-01-08,7호선,건대입구,승차,87,100,165,254,335,395,467,656,607,590,811,860,946,839,637,1053,1170,414,149,
160,2022-01-08,7호선,건대입구,하차,26,147,226,441,591,596,761,867,974,992,910,927,937,673,438,295,415,216,153,
161,2022-01-09,1호선,서울역,승차,137,165,234,480,749,988,1262,1512,1699,1427,1846,1758,2307,1826,1672,1575,1874,975,315,
162,2022-01-09,1호선,서울역,하차,93,414,593,757,1155,1100,1094,1492,1471,1527,1712,1668,1741,1588,1312,1139,1114,404,154,
163,2022-01-09,2호선,잠실,승차,170,355,464,932,1300,1422,1771,2460,2619,3049,3447,4183,4147,3628,3452,4810,4785,1463,229,
164,2022-01-09,2호선,잠실,하차,72,396,608,1292,2877,2520,2881,3409,3380,3360,3662,3686,3209,2751,1855,1842,2708,1085,375,
165,2022-01-09,2호선,삼성,승차,61,121,153,199,277,348,645,860,1126,1447,1663,2201,2223,2115,1752,2678,1657,510,87,
166,2022-01-09,2호선,삼성,하차,39,436,597,1127,1577,1519,1852,1951,2082,1897,1624,1398,1212,768,481,305,393,180,114,
167,2022-01-09,2호선,강남,승차,156,295,308,452,618,756,1013,1511,1895,2065,2314,2722,3129,2851,2464,3893,5574,1630,350,
168,2022-01-09,2호선,강남,하차,97,470,563,1067,1972,1635,2003,2756,3178,2945,2753,3182,3214,2207,1356,1080,1235,561,230,
169,2022-01-09,2호선,사당,승차,156,234,323,575,817,919,1040,1306,1423,1503,1437,1627,1497,1333,1302,1540,1680,596,141,
170,2022-01-09,2호선,사당,하차,36,632,331,499,1012,1081,1091,1306,1512,1406,1381,1828,1939,1694,1327,1266,2048,834,347,
171,2022-01-09,2호선,신림,승차,533,814,1086,1961,2691,2392,2510,2790,2707,2477,2436,2523,2281,1850,1426,1697,1613,767,218,
172,2022-01-09,2호선,신림,하차,56,305,434,656,1026,1195,1347,1652,2055,2094,2382,2809,3139,3287,2619,2542,3773,2140,898,
173,2022-01-09,2호선,홍대입구,승차,175,234,280,550,675,818,1152,1568,1884,2240,2891,3691,4292,4126,4116,6408,8348,2172,389,
174,2022-01-09,2호선,홍대입구,하차,58,204,252,525,1237,1766,3246,4704,5234,5177,5282,5131,4270,2962,1519,1079,1397,682,376,
175,2022-01-09,4호선,서울역,승차,70,83,108,114,191,239,248,311,248,269,265,311,326,216,164,175,190,92,32,
176,2022-01-09,4호선,서울역,하차,10,109,217,285,395,449,481,588,565,566,673,660,723,747,628,538,594,252,92,
177,2022-01-09,4호선,사당,승차,147,203,278,506,865,864,991,1116,1086,1023,1049,1026,931,803,738,851,856,323,115,
178,2022-01-09,4호선,사당,하차,23,409,267,308,465,516,670,855,817,884,947,1166,1069,1118,886,760,981,460,245,
179,2022-01-09,7호선,건대입구,승차,58,66,105,157,228,214,277,330,373,414,569,548,554,570,538,748,807,253,103,
180,2022-01-09,7호선,건대입구,하차,21,93,102,194,316,441,431,575,655,635,720,598,657,456,375,254,313,159,110,
181,2022-01-10,1호선,서울역,승차,339,447,1735,2491,1696,1427,1750,1868,1972,1812,2168,2552,4524,7641,2955,2270,2414,842,262,
182,2022-01-10,1호선,서울역,하차,263,1695,3870,8283,4687,2086,1695,1871,1748,1531,1715,1549,2155,2333,1336,895,998,318,176,
183,2022-01-10,2호선,잠실,승차,388,1748,4313,6306,4628,2605,2267,2584,2676,2807,3059,3796,5138,7276,4471,5032,4380,1156,299,
184,2022-01-10,2호선,잠실,하차,190,1258,2698,6795,5174,3267,2818,2814,2665,2862,3014,3453,4855,8080,5244,3275,3962,1808,583,
185,2022-01-10,2호선,삼성,승차,111,237,507,765,734,781,1051,1211,1511,1954,2696,3160,7246,12723,6440,4387,3986,1168,226,
186,2022-01-10,2호선,삼성,하차,195,1376,5301,14425,10022,3444,1970,1742,2131,1756,1523,1484,1544,1819,970,556,660,237,143,
187,2022-01-10,2호선,강남,승차,148,519,1428,2597,1883,1841,2424,3135,3863,4032,5147,5889,9503,14288,9054,7666,9562,3622,559,
188,2022-01-10,2호선,강남,하차,437,2003,6479,13735,15226,6134,3863,3560,4584,3759,3674,4023,4471,6323,2914,1430,1500,601,317,
189,2022-01-10,2호선,사당,승차,383,913,2756,4182,2745,1450,1259,1572,1536,1501,1559,1704,2319,3705,1998,1985,2342,781,218,
190,2022-01-10,2호선,사당,하차,137,931,1719,2870,1782,1230,1408,1339,1409,1490,1829,2223,3495,5800,3787,2288,2635,1231,506,
191,2022-01-10,2호선,신림,승차,1413,2897,8434,13166,6932,2875,2315,2383,2314,2162,2143,2340,2621,2836,1658,1561,1720,870,226,
192,2022-01-10,2호선,신림,하차,108,631,1208,2417,1825,1449,1314,1708,1920,1923,2915,3427,5199,10545,8531,4833,5718,2993,1225,
193,2022-01-10,2호선,홍대입구,승차,394,758,2353,3101,1736,1114,1251,1500,1823,1959,2430,2999,4397,5710,4172,5149,6545,2145,370,
194,2022-01-10,2호선,홍대입구,하차,112,542,1269,4229,4358,2467,2488,3003,3614,3461,3428,3841,4197,5897,3297,1617,1693,927,504,
195,2022-01-10,4호선,서울역,승차,129,218,492,612,387,290,340,375,369,418,436,580,1664,2452,813,569,640,192,38,
